Scientific name;Taxon status;Type category;Barcode;Collector;Collector Number;Date;Determined by;Locality Note;Latitude;Longitude;Precision;Habitat;Country;Country ISO code;Major Admin Name;Minor Admin Name;Locality;Taxon rank;Kingdom;Phylum;Class;Order;Family;Genus;Species;Collection;Institute code;Institute;Collection year
Ranunculus repens L.;;;UGDA.0048945;Afranowicz-Cieślak Renata, Rutkowski Piotr;09062020/RAC174;2020-06-09;Afranowicz-Cieślak Renata;Polska, województwo pomorskie, Gdańsk Górki Zachodnie, użytek ekologiczny Karasiowe Jeziorka;54.3665;18.7565;gps;ols na skraju jeziorka śródleśnego;Poland;pl;Pomeranian Voivodeship;Krakowiec - Górki Zachodnie;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;repens;UGDA-Plants;UGDA;Uniwersytet Gdański;2020
Ranunculus repens L.;;;UGDA.0048944;Afranowicz-Cieślak Renata, Rutkowski Piotr;09062020/RAC174;2020-06-09;Afranowicz-Cieślak Renata;Polska, województwo pomorskie, Gdańsk Górki Zachodnie, użytek ekologiczny Karasiowe Jeziorka;54.3665;18.7565;gps;ols na skraju jeziorka śródleśnego;Poland;pl;Pomeranian Voivodeship;Krakowiec - Górki Zachodnie;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;repens;UGDA-Plants;UGDA;Uniwersytet Gdański;2020
Ranunculus repens L.;;;UGDA.0048943;Afranowicz-Cieślak Renata, Rutkowski Piotr;09062020/RAC174;2020-06-09;Afranowicz-Cieślak Renata;Polska, województwo pomorskie, Gdańsk Górki Zachodnie, użytek ekologiczny Karasiowe Jeziorka;54.3665;18.7565;gps;ols na skraju jeziorka śródleśnego;Poland;pl;Pomeranian Voivodeship;Krakowiec - Górki Zachodnie;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;repens;UGDA-Plants;UGDA;Uniwersytet Gdański;2020
Ranunculus repens L.;;;UGDA.0048942;Afranowicz-Cieślak Renata, Rutkowski Piotr;09062020/RAC174;2020-06-09;Afranowicz-Cieślak Renata;Polska, województwo pomorskie, Gdańsk Górki Zachodnie, użytek ekologiczny Karasiowe Jeziorka;54.3665;18.7565;gps;ols na skraju jeziorka śródleśnego;Poland;pl;Pomeranian Voivodeship;Krakowiec - Górki Zachodnie;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;repens;UGDA-Plants;UGDA;Uniwersytet Gdański;2020
Ranunculus repens L.;;;UGDA.0048941;Afranowicz-Cieślak Renata, Rutkowski Piotr;09062020/RAC174;2020-06-09;Afranowicz-Cieślak Renata;Polska, województwo pomorskie, Gdańsk Górki Zachodnie, użytek ekologiczny Karasiowe Jeziorka;54.3665;18.7565;gps;ols na skraju jeziorka śródleśnego;Poland;pl;Pomeranian Voivodeship;Krakowiec - Górki Zachodnie;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;repens;UGDA-Plants;UGDA;Uniwersytet Gdański;2020
Ranunculus repens L.;;;UGDA.0048940;Afranowicz-Cieślak Renata, Rutkowski Piotr;09062020/RAC174;2020-06-09;Afranowicz-Cieślak Renata;Polska, województwo pomorskie, Gdańsk Górki Zachodnie, użytek ekologiczny Karasiowe Jeziorka;54.3665;18.7565;gps;ols na skraju jeziorka śródleśnego;Poland;pl;Pomeranian Voivodeship;Krakowiec - Górki Zachodnie;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;repens;UGDA-Plants;UGDA;Uniwersytet Gdański;2020
Puccinellia distans (Jacq.) Parl.;;;UGDA.0041693;Wszałek Katarzyna;s.n.;2005-08-13;Wszałek Katarzyna;"Władysławowo, wprost ul. Boh. Kaszubskich, 400 m od parkingu na N; ATPOL: CA-39c";54.7889;18.4136;5km;mikrozagłębienia w słonawie;Poland;pl;Pomeranian Voivodeship;;Puck County;species;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Puccinellia;distans;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Cirsium arvense (L.) Scop.;;;UGDA.0001890;Rydzewska-Szymczyk Maria;s.n.;1971-08-27;Rydzewska-Szymczyk Maria;Polska, Pojezierze Kaszubskie, Nadleśnictwo Oliwa, Leśnictwo Matemblewo, oddział 94;54.4092;18.4954;1km;skra lasu bukowego;Poland;pl;Pomeranian Voivodeship;Osowa;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Cirsium;arvense;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Luzula campestris (L.) DC.;;;UGDA.0041773;Fałtynowicz Wiesław;s.n.;1975-05-01;Fałtynowicz Wiesław;Bory Tucholskie, Lubnia, przy torach kolejowych;53.9344;17.7412;1km;piaszczysty ugór;Poland;pl;Pomeranian Voivodeship;gmina Brusy;Chojnice County;species;Plantae;Tracheophyta;Liliopsida;Poales;Juncaceae;Luzula;campestris;UGDA-Plants;UGDA;Uniwersytet Gdański;1975
Geranium pyrenaicum Burm.f.;;;UGDA.0033734;Korneluk Zofia;s.n.;1987-08-21;Korneluk Zofia;województwo gdańskie, Wejherowo Śmiechowo, ul. Pokoju;54.603;18.285;2,5km;przydroże;Poland;pl;Pomeranian Voivodeship;Śmiechowo Północ;Wejherowo County;species;Plantae;Tracheophyta;Magnoliopsida;Geraniales;Geraniaceae;Geranium;pyrenaicum;UGDA-Plants;UGDA;Uniwersytet Gdański;1987
Achillea salicifolia Besser;;;UGDA.0047935;Dąbrowska Urszula;s.n.;2001-07-22;Dąbrowska Urszula;"woj. pomorskie, Dolina dolnej Łeby, Torfowisko ""Czarne Bagno"", 2 km na zachód od wsi Żelazkowo, koło Lęborka";54.5516;17.5679;10km;obrzeże rzeki Łeby;Poland;pl;Pomeranian Voivodeship;gmina Nowa Wieś Lęborska;Lębork County;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;salicifolia;UGDA-Plants;UGDA;Uniwersytet Gdański;2001
Tanacetum parthenium (L.) Sch.Bip.;;;UGDA.0044358;Wojnicz Aleksandra;s.n.;2014-06-27;Wojnicz Aleksandra;Polska, Gdańsk-Ujeścisko;54.3257;18.5777;2,5km;łąka;Poland;pl;Pomeranian Voivodeship;;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Tanacetum;parthenium;UGDA-Plants;UGDA;Uniwersytet Gdański;2014
Hieracium laevigatum Willd.;;;UGDA.0002035;Piotrowska Hanna;s.n.;1971-08-05;Piotrowska Hanna;Pomorze Zachodnie, Przełom Raduni, Babi Dół, lewa storna Raduni;54.3115;18.3097;10km;w pobliżu torów;Poland;pl;Pomeranian Voivodeship;gmina Żukowo;Kartuzy County;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium;laevigatum;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Cichorium intybus L.;;;UGDA.0039833;Skóra Agnieszka;s.n.;2002-12-05;Skóra Agnieszka;Polska, województwo pomorskie, Wejherowo;54.6027;18.2479;5km;przydroże;Poland;pl;Pomeranian Voivodeship;Śmiechowo Południe;Małe Trójmiasto Kaszubskie;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Cichorium;intybus;UGDA-Plants;UGDA;Uniwersytet Gdański;2002
Cichorium intybus L.;;;UGDA.0039832;Skóra Agnieszka;s.n.;2002-12-05;Skóra Agnieszka;Polska, województwo pomorskie, Wejherowo;54.6027;18.2479;5km;przydroże;Poland;pl;Pomeranian Voivodeship;Śmiechowo Południe;Małe Trójmiasto Kaszubskie;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Cichorium;intybus;UGDA-Plants;UGDA;Uniwersytet Gdański;2002
Lysimachia nummularia L.;;;UGDA.0041860;Turek Małgorzata;s.n.;2001-04-29;Turek Małgorzata;województwo pomorskie, Nadleśnictwo Wejherowo, leśnictwo Nanice, oddz. 168k;54.6218;18.2598;1km;pastwisko;Poland;pl;Pomeranian Voivodeship;;Wejherowo County;species;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Lysimachia;nummularia;UGDA-Plants;UGDA;Uniwersytet Gdański;2001
Lathyrus niger (L.) Bernh.;;;UGDA.0020022;Kurowska M.;s.n.;1982-08-08;Kurowska M.;Polska, Pobrzeże Kaszubskie, nadleśnictwo Wejherowo, obręb Wejherowo, oddział 157d;54.6213;18.2167;1km;młoda dąbrowa z domieszką sosny;Poland;pl;Pomeranian Voivodeship;gmina Wejherowo;Wejherowo County;species;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Lathyrus;niger;UGDA-Plants;UGDA;Uniwersytet Gdański;1982
Torilis japonica (Houtt.) DC.;;;UGDA.0002981;Herbich Jacek;s.n.;1971-07-15;Herbich Jacek;Pomorze Zachodnie, Przełom Raduni, Babi Dół;54.3008;18.2853;2,5km;zarośla w pobliżu toru;Poland;pl;Pomeranian Voivodeship;gmina Żukowo;Kartuzy County;species;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Torilis;japonica;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Achillea millefolium L.;;;UGDA.0037718;Rzewuska-Kaługa Katarzyna;s.n.;2002-06-08;Rzewuska-Kaługa Katarzyna;Węsiory;54.2301;17.8432;5km;ogródek działkowy;Poland;pl;Pomeranian Voivodeship;gmina Sulęczyno;Kartuzy County  Węsiory;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;millefolium;UGDA-Plants;UGDA;Uniwersytet Gdański;2002
Callitriche cophocarpa Sendtn.;;;UGDA.0047679;Chojnacki Włodzimierz;s.n.;2020-05-21;Chojnacki Włodzimierz;Pojezierze Kaszubskie, Gdańsk Oliwa, lasy Oliwskie;54.3851;18.532;10km;zagłębienie z wodą między lasem, a drogą;Poland;pl;Pomeranian Voivodeship;Oliwa;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Callitriche;cophocarpa;UGDA-Plants;UGDA;Uniwersytet Gdański;2020
Juncus squarrosus L.;;;UGDA.0020843;Słomińska Stella;s.n.;2001-07-11;Słomińska Stella;2 km na E od Nowego Dworu Wejherowskiego, 250 m na NW od wsi Reszki;54.5397;18.3243;2,5km;lekko obsuszony brzeg torfowiska;Poland;pl;Pomeranian Voivodeship;gmina Wejherowo;Wejherowo County;species;Plantae;Tracheophyta;Liliopsida;Poales;Juncaceae;Juncus;squarrosus;UGDA-Plants;UGDA;Uniwersytet Gdański;2001
Succisa pratensis Moench;;;UGDA.0048063;Wszałek-Rożek Katarzyna;s.n.;2013-08-17;Wszałek-Rożek Katarzyna;województwo pomorskie, Rewa, na wschód od miejscowości Moście Błota;54.6303;18.4777;gps;szuwar trzcinowy;Poland;pl;Pomeranian Voivodeship;gmina Kosakowo;Puck County;species;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Succisa;pratensis;UGDA-Plants;UGDA;Uniwersytet Gdański;2013
Succisa pratensis Moench;;;UGDA.0048062;Wszałek-Rożek Katarzyna;s.n.;2013-08-17;Wszałek-Rożek Katarzyna;województwo pomorskie, Rewa, na wschód od miejscowości Moście Błota;54.6303;18.4777;gps;szuwar trzcinowy;Poland;pl;Pomeranian Voivodeship;gmina Kosakowo;Puck County;species;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Succisa;pratensis;UGDA-Plants;UGDA;Uniwersytet Gdański;2013
